smiles,measured log solubility in mols per litre
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144
c1ccc2c(c1)sc3ccccc23,-4.38
c1ccccc1C(O)C(O)c2ccccc2,-1.93
COC(=O)c1ccccc1C(=O)OC,-1.66
CCCCCCCC(=O)OCC,-3.39
CCSSCC,-2.42
CCOCCOCC,-0.77
Clc1cc(Cl)c(Cl)cc1Cl,-5.56
Nc1ccc(cc1)c2ccc(N)cc2,-2.7
CCCCCC=C,-3.73
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028
O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.39
Nc1ccccc1Cl,-1.52
COc1cccc(Cl)c1,-2.78
CCCCN(CC)C(=O)SCCC,-3.53
CCCCOC=O,-1.37
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
BrC(Cl)Cl,-1.54
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11
Oc1ccc(C=O)cc1,-0.96
CBr,-0.79
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839
CCc1ccc2ccccc2c1,-4.29
c1c(NC(=O)c2ccccc2(I))cccc1,-4.21
Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685
Fc1ccccc1Br,-2.7
Oc1ccc(Cl)cc1Cl,-1.55
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
C1CCCC1,-2.64
Cc1ccccc1N,-2.21
c1(OC)ccc(CC=C)cc1,-2.92
CC(C)C=C,-2.73
Oc1ccccn1,1.02
CC,-1.36
Clc1ccccc1Cl,-3.05
CC(=O)N,1.58
Cc1cccc2ccccc12,-3.7
CC(O)C(C)(C)C,-0.62
CCCC(=O)OCC,-1.36
c1ccc2c(c1)ccc3ccccc32,-5.26
Cc1ccnc(C)c1,0.38
CCCCCCCCCO,-3.01
BrCBr,-1.17
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
Cc1ccc2cc(C)ccc2c1,-4.89
CCSC(=O)N(CC(C)C)CC(C)C,-3.68
Nc1cccc(c1)N(=O)=O,-2.19
CCCCCl,-2.03
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955
CC1CO1,-0.59
O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,-3.796
CCNC(=S)NCC,-1.46
Oc1cc(Cl)cc(Cl)c1Cl,-2.67
CCCCC(=O)OC,-1.34
Nc1ccccc1,-0.41
Cc1cccc2c(C)cccc12,-4.678999999999999
C1=Cc2cccc3cccc1c23,-3.96
CCCCCOC(=O)CC,-1.28
CCNc1nc(NC(C)C)nc(OC)n1,-2.084
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699
CCBr,-1.09
CCC#CCC,-1.99
CCC(=C)C,-2.73
C1CCc2ccccc2C1,-4.37
Brc1cc(Br)cc(Br)c1,-5.6
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72
Cc1cc(=O)[nH]c(=S)[nH]1,-2.436
COc1cc(CC=C)ccc1O,-1.56
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
CCOC(C)OCC,-0.43
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338
CCCCOCCO,-0.42
Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82
CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402
FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047
c1ccc2ncccc2c1,-1.3
Clc2ccc1oc(=O)[nH]c1c2,-2.8310000000000004
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92
ClCCCCl,-1.62
Fc1cccc(Br)c1,-2.67
Clc1ccc(Br)cc1,-3.63
CC(C)C(C)C,-3.65
CCC=C,-1.94
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68
FC(F)(Cl)C(F)(Cl)Cl,-3.04
CCC#N,0.28
COc1ccccc1N(=O)=O,-1.96
CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12
CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018
c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899
OCC(O)CO,1.12
Cc1c2ccccc2cc3ccccc13,-5.89
Cc1cc(=O)n(c2ccccc2)n1C,0.715
CCCCOC,-0.99
Cc2cnc1cncnc1n2,-0.8540000000000001
CN(C)C(=O)C,1.11
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676
C=C,-0.4
CC(C)(C)CCO,-0.5
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614
Oc1ccc(Cl)c(Cl)c1Cl,-2.67
COc1ccccc1,-1.85
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53
COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,-4.16
CCc1ccc(C)cc1,-3.11
CC(C)SC(C)C,-2.24
O=N(=O)c1cccc(c1)N(=O)=O,-2.29
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54
Cc1ncc(N(=O)=O)n1CCO,-1.22
Nc1ccc(Cl)cc1,-1.66
CCCC(C)(C)CO,-1.52
c1ccoc1,-0.82
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928
CN(C)C(=O)NC1CC2CC1C3CCCC23,-3.1710000000000003
CC(C)(C)c1ccccc1,-3.66
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27
CCCOC,-0.39
CC(C)OC(=O)C,-0.55
Brc1ccccc1,-2.55
CCOC(=O)c1ccc(O)cc1,-2.35
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.071000000000001
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332
ClC=C,-1.75
BrC(Br)(Br)Br,-3.14
OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-4.38
COC(=O)c1ccccc1,-1.85
Cn1ccc(=O)[nH]c1=O,-0.807
CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-3.29
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8
C1CC=CC1,-2.1
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99
CCCCCCCCC,-5.88
Oc1ccccc1Cl,-1.06
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59
CCOc1ccccc1,-2.33
CCOC(=O)C=Cc1ccccc1,-3.0
Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-2.484
Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499
Cc1ccc(cc1)S(=O)(=O)N,-1.74
CC(OC(=O)Nc1cccc(Cl)c1)C#C,-2.617
CCCCCC(C)C,-5.08
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176
CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.754
CCC(O)C(C)C,-0.7
CC1(C)C2CCC1(C)C(O)C2,-2.32
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-4.02
CCCCCCC,-4.53
Oc1cccc2ccccc12,-2.22
C/C1CCCCC1\C,-4.3
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-7.85
CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,-5.27
CCCCCC(=O)C,-1.45
CCCCSP(=O)(SCCCC)SCCCC,-5.14
c1cC2C(=O)NC(=O)C2cc1,-2.932
CC=C(C)C,-2.56
Cc1ccc(C)c(C)c1,-3.31
Oc1cc(Cl)c(Cl)cc1Cl,-2.21
CCCC(C)(O)CC,-0.98
CCCCCCCC,-5.24
c1ccc2cc3ccccc3cc2c1,-6.35
NNc1ccccc1,0.07
CCC=O,0.58
C1CCCCCCC1,-4.15
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-2.077
ClC(Cl)Cl,-1.17
Clc1ccc(CN(C2CCCC2)C(=O)Nc3ccccc3)cc1,-5.915
CC1=CCCCC1,-3.27
CCCCC(CC)C=O,-2.13
O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.658
c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,-8.0
CCC(CC)C=O,-1.52
CCCOCCC,-1.62
CCCCCCCCCCCCCCO,-5.84
Oc1c(Cl)ccc(Cl)c1Cl,-2.64
NC(=O)N,0.96
CCCC#C,-1.64
Brc1cccc(Br)c1,-3.54
CCCCCCCCCCCCCCCCCCO,-8.4
CC(=O)Nc1ccccc1,-1.33
c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,-2.7
c1nccc(C(=O)NN)c1,0.009
CC(C)CCOC=O,-1.52
CC(=O)c1ccccc1,-1.28
CCOP(=O)(OCC)OCC,0.43
CC2(C)C1CCC(C)(C1)C2=O,-1.85
COc2cnc1cncnc1n2,-0.91
CC(C)N(=O)=O,-0.62
c1ccc2c(c1)[nH]c3ccccc32,-5.27
OCC(O)C(O)CO,0.7
CCCOC(=O)c1ccc(N)cc1,-2.452
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999
O=C1CCC(=O)N1,0.3
CCC(C)C(C)C,-4.28
C1CCOCC1,-0.03
CCCCCC#C,-3.01
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,-7.92
CCOC(=O)c1ccccc1,-2.32
ClCC(C)C,-2.0
CCCCCCCCCCCC(=O)OC,-4.69
CCCSCCC,-2.58
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
CCCCCBr,-3.08
CCCC/C=C/C,-3.82
CCCCCC1CCCC1,-6.08
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148
CC(Cl)(Cl)Cl,-2.0
CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57
O=C2NC(=O)C1(CCCCC1)C(=O)N2,-3.06
Cc1ccc(Br)cc1,-3.19
CCOCC,-0.09
CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,-4.376
CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.53
Cc1cc(C)c(O)c(C)c1,-2.05
c1ccccc1,-1.64
Clc1ccc(I)cc1,-4.03
COc1ccc(NC(=O)N(C)C)cc1Cl,-2.564
C=Cc1ccccc1,-2.82
COCOC,0.48
Cc1ccccc1C,-2.8
CCC(C)O,0.47
Oc1ccc(O)cc1,-0.17
C1c2ccccc2c3cc4ccccc4cc13,-8.04
c1(O)cc(O)ccc1CCCCCC,-2.59
C=CCS(=O)SCC=C,-0.83
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.382000000000001
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.01
CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,-4.71
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1
Clc1cccc(Cl)c1,-3.04
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-7.15
CC(C)COC=O,-1.01
c1ccccc1SC,-2.39
CCCCCC,-3.84
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59
CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C,-4.925
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15
c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726
CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.95
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
CCc1ccccn1,0.51
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
c1ccc(cc1)c2ccccc2,-4.345
CN(C)c1nc(nc(n1)N(C)C)N(C)C,-3.364
CC(C)CC(C)(C)O,-0.92
OCC1OC(O)(CO)C(O)C1O,0.64
Cc1cc(C)cc(O)c1,-1.4
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.37
CC(=O)Nc1ccc(Cl)cc1,-2.843
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
CCC(C)(C)C,-3.55
CNc1ccccc1,-1.28
C=CCC=C,-2.09
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.88
Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,-1.456
OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,-3.604
Oc1cccc(Cl)c1,-0.7
Clc1cccc(Br)c1,-3.21
O=C1NC(=O)NC(=O)C1(C)CC,-1.228
OCCOc1ccccc1,-0.7
C(c1ccccc1)c2ccccc2,-4.08
CCCCCC(O)CC,-1.98
CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,-6.78
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43
CCCC(C)CO,-1.11
CCCCC(C)(C)O,-1.08
CCc1ccccc1,-2.77
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.253
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.317
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19
CCOC(=O)CC,-0.66
CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1
CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9
Cc1cc2ccccc2cc1C,-4.72
ClC(Cl)(Cl)N(=O)=O,-2.0
COc1ccc(C=O)cc1,-1.49
CC(=O)Nc1ccc(cc1)N(=O)=O,-2.692
CCCCCCC(=O)OCC,-2.74
CC(=O)Nc1ccc(O)cc1,-1.03
COC(=O)C,0.46
CCCC(O)C=C,-0.59
CCCCOCCCC,-1.85
CCCCCCCCCCCCO,-4.8
CCCC(C)(C)O,-0.49
Nc1nc(=O)[nH]cc1F,-0.972
CCCCCC(C)(C)O,-1.72
Cc1c(C)c(C)c(C)c(C)c1C,-5.23
CC(C)c1ccc(C)cc1O,-2.22
c2cnc1ncncc1n2,0.02
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.66
C,-0.9
O=N(=O)c1cccc2ccccc12,-3.54
CCC(C)C(=O)C,-0.67
CN(=O)=O,0.26
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-4.88
C=CCCC=C,-2.68
c2ccc1[nH]ccc1c2,-1.52
CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O,-3.69
CCCCC=C,-3.23
Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O,-3.79
CCC1CCCCC1,-4.25
CCCCCCCC(=O)C,-2.58
COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,-3.88
CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38
CNC(=O)Oc1cccc2ccccc12,-3.224
C#C,0.29
Cc1cncc(C)c1,0.38
C1C=CCC=C1,-2.06
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.518
CC(O)c1ccccc1,-0.92
CC(Cl)CCl,-1.6
CCCC=C(CC)C=O,-2.46
CCOP(=S)(OCC)SCCSCC,-4.23
Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,-6.02
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46
c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.6370000000000005
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.24
Cc1cc(C)cc(C)c1,-3.4
CCCCCCCCCCCCCCCO,-6.35
O=C1NC(=O)NC(=O)C1(C)C,-1.742
CC(C)I,-2.09
O=N(=O)c1ccccc1N(=O)=O,-3.1
CC(C)C(=O)C,-0.12
CCCCCCCCCCCCCCCC,-8.4
CC12CCC(CC1)C(C)(C)O2,-1.74
CCCCCCC(=O)C,-2.05
CCCCCCCCC(=O)OC,-3.38
Fc1ccc(F)cc1,-1.97
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,-2.676
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.68
CCO,1.1
O=C2NC(=O)C1(CCCC1)C(=O)N2,-2.349
c1c(NC(=O)OC(C)C(=O)NCC)cccc1,-1.83
CN(C)C(=O)NC1CCCCCCC1,-2.218
ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl,-6.8
CCCCCCCCBr,-5.06
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883
CCC(O)CC,-0.24
Cc1ccc(cc1)N(=O)=O,-2.49
CC(C)CCCO,-1.14
CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,-4.57
Nc2cnn(c1ccccc1)c(=O)c2Cl,-2.878
CCC(C)(C)O,0.15
Cc1ccc(O)cc1,-0.73
CCOC=O,0.15
CN(C)c1ccccc1,-1.92
C1CCC2CCCCC2C1,-5.19
CCCCS,-2.18
c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,-7.8
ClC(=C(Cl)Cl)Cl,-2.54
CCC(=O)CC,-0.28
C=CC#N,0.15
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.613
CCCCC(=O)C,-0.8
CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.239
CCCCC(C)CC,-5.16
BrCCBr,-1.68
CNC(=O)Oc1ccccc1C(C)C,-2.863
O=C1NCCN1c2ncc(s2)N(=O)=O,-3.22
C1c2ccccc2c3ccc4ccccc4c13,-6.68
COc1ccccc1Cl,-2.46
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,-5.03
COC(=O)C=C,-0.22
CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,-4.89
N(=Nc1ccccc1)c2ccccc2,-4.45
CC(C)c1ccc(C)cc1,-3.77
Oc1c(Cl)cccc1Cl,-1.79
OC1C(O)C(O)C(O)C(O)C1O,0.35
Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,-0.17
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,-2.111
CCC(O)(CC)CC,-0.85
CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,-5.41
Brc1ccccc1Br,-3.5
Oc1c(Cl)cc(Cl)cc1Cl,-2.34
CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,-5.16
CC(C)C(=O)C(C)C,-1.3
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),-2.943
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.8759999999999999
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-4.173
Cc1ccc(O)cc1C,-1.38
O(c1ccccc1)c2ccccc2,-3.96
Sc1ccccc1,-2.12
CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.86
CSSC,-1.44
NC(=O)c1ccccc1,-0.96
Clc1ccccc1Br,-3.19
COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O,-0.742
CCCCC(O)CC,-1.47
Oc1cc(Cl)cc(Cl)c1,-1.34
Cc1cccc2c1ccc3ccccc32,-5.85
CCCCC(CC)CO,-2.11
CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-4.2860000000000005
Cc1ccccc1,-2.21
Clc1cccc(n1)C(Cl)(Cl)Cl,-3.76
C1CCC=CCC1,-3.18
COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O,-3.2460000000000004
CCCCCCCCCCO,-3.63
CCC(C)(C)CC,-4.23
CNC(=O)C(C)SCCSP(=O)(OC)(OC),1.144
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15
CCCC=O,-0.01
CCCC,-2.57
COc1ccccc1O,-1.96
CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.099
ClC(Cl)C(Cl)(Cl)Cl,-2.6
CCOC(=O)c1ccccc1C(=O)OCC,-2.35
CC(C)CO,0.1
CC(C)Cc1ccccc1,-4.12
ICI,-2.34
CCCC(O)CCC,-1.4
CCCCCOC(=O)C,-1.89
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37
CCCc1ccccc1,-3.37
FC(F)(Cl)C(F)(F)Cl,-2.74
CC=CC=O,0.32
Cc1cc(C)c(C)cc1C,-4.59
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.35
c1ccccc1NC(=O)c2c(O)cccc2,-3.59
CCN(CC)C(=S)SCC(Cl)=C,-3.39
ClCC,-1.06
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24
O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3,-3.46
CC/C=C\C,-2.54
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982
c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,-4.24
Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3,-3.62
O=C(c1ccccc1)c2ccccc2,-3.12
CCCCCCCCCCCCCCCCCCCC,-8.172
CCC(CC)CO,-1.17
Oc1ccncc1,1.02
Cl\C=C/Cl,-1.3
CC1CCCC1,-3.3
CC(C)CC(C)O,-0.8
CC(C)(C)CO,-0.4
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,-3.61
Cc1cc(no1)C(=O)NNCc2ccccc2,-2.461
CC=C,-1.08
Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,-3.953
O=C1c2ccccc2C(=O)c3ccccc13,-5.19
CCCCCCC(C)O,-2.09
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281
CCCCc1ccccc1,-4.06
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-3.451
CC(C)COC(=O)C,-1.21
CC(C)C(C)(C)C,-4.36
N#Cc1ccccc1C#N,-2.38
Cc1cccc(c1)N(=O)=O,-2.44
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
CCSCCSP(=S)(OC)OC,-3.091
CCC(C)C,-3.18
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522
